"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion"
"10/09/2022 03:52:17:779 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","beta-eth","beta-rel","tie-houses-to-religion","free-space","religion","data-source","town","turnover","color-axis-max","neighbor-weight","others-ignore-ethn","ethn-rel-recommendations","ethnicity","always-search","dissimilarity-religion","threshold-mean","stop-tick","always-move","scale-down-pop","threshold-sd","measure","[step]","precision (sum [(ethnic-simpson - town-ethnic-simpson) * totalpop] of districts / sum [totalpop] of districts) 3","dissimilarity-string 0 dissimilarity-religion","dissimilarity-string 1 dissimilarity-religion","dissimilarity-string 2 dissimilarity-religion","dissimilarity-string 3 dissimilarity-religion","precision moran-I districts 3"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.023","0.257 (emp 0.241)","0.515 (emp 0.421)","0.086 (emp 0.034)","0.193 (emp 0.204)","0.689"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.022","0.253 (emp 0.241)","0.513 (emp 0.421)","0.087 (emp 0.034)","0.183 (emp 0.204)","0.703"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.022","0.256 (emp 0.241)","0.507 (emp 0.421)","0.092 (emp 0.034)","0.196 (emp 0.204)","0.687"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.023","0.257 (emp 0.241)","0.51 (emp 0.421)","0.085 (emp 0.034)","0.196 (emp 0.204)","0.691"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.026","0.262 (emp 0.241)","0.576 (emp 0.421)","0.113 (emp 0.034)","0.181 (emp 0.204)","0.71"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.025","0.258 (emp 0.241)","0.572 (emp 0.421)","0.124 (emp 0.034)","0.183 (emp 0.204)","0.706"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.027","0.265 (emp 0.241)","0.584 (emp 0.421)","0.124 (emp 0.034)","0.177 (emp 0.204)","0.707"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.025","0.259 (emp 0.241)","0.574 (emp 0.421)","0.109 (emp 0.034)","0.177 (emp 0.204)","0.716"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.026","0.26 (emp 0.241)","0.582 (emp 0.421)","0.11 (emp 0.034)","0.18 (emp 0.204)","0.718"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.029","0.266 (emp 0.241)","0.627 (emp 0.421)","0.129 (emp 0.034)","0.181 (emp 0.204)","0.713"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.026","0.259 (emp 0.241)","0.575 (emp 0.421)","0.116 (emp 0.034)","0.188 (emp 0.204)","0.697"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.026","0.259 (emp 0.241)","0.578 (emp 0.421)","0.108 (emp 0.034)","0.175 (emp 0.204)","0.7"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","2","0.026","0.264 (emp 0.241)","0.572 (emp 0.421)","0.106 (emp 0.034)","0.179 (emp 0.204)","0.703"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.029","0.267 (emp 0.241)","0.625 (emp 0.421)","0.133 (emp 0.034)","0.178 (emp 0.204)","0.715"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.028","0.266 (emp 0.241)","0.621 (emp 0.421)","0.136 (emp 0.034)","0.182 (emp 0.204)","0.716"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.028","0.265 (emp 0.241)","0.628 (emp 0.421)","0.127 (emp 0.034)","0.178 (emp 0.204)","0.715"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.028","0.263 (emp 0.241)","0.626 (emp 0.421)","0.128 (emp 0.034)","0.177 (emp 0.204)","0.699"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.031","0.269 (emp 0.241)","0.665 (emp 0.421)","0.14 (emp 0.034)","0.175 (emp 0.204)","0.712"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.028","0.265 (emp 0.241)","0.62 (emp 0.421)","0.134 (emp 0.034)","0.167 (emp 0.204)","0.702"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.028","0.264 (emp 0.241)","0.619 (emp 0.421)","0.128 (emp 0.034)","0.19 (emp 0.204)","0.711"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","3","0.028","0.268 (emp 0.241)","0.615 (emp 0.421)","0.126 (emp 0.034)","0.169 (emp 0.204)","0.7"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.031","0.271 (emp 0.241)","0.664 (emp 0.421)","0.144 (emp 0.034)","0.18 (emp 0.204)","0.733"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.03","0.265 (emp 0.241)","0.656 (emp 0.421)","0.145 (emp 0.034)","0.169 (emp 0.204)","0.726"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.03","0.266 (emp 0.241)","0.661 (emp 0.421)","0.144 (emp 0.034)","0.181 (emp 0.204)","0.714"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.031","0.266 (emp 0.241)","0.658 (emp 0.421)","0.142 (emp 0.034)","0.175 (emp 0.204)","0.699"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.033","0.267 (emp 0.241)","0.692 (emp 0.421)","0.162 (emp 0.034)","0.178 (emp 0.204)","0.719"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.03","0.266 (emp 0.241)","0.66 (emp 0.421)","0.14 (emp 0.034)","0.167 (emp 0.204)","0.715"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.03","0.266 (emp 0.241)","0.656 (emp 0.421)","0.132 (emp 0.034)","0.181 (emp 0.204)","0.723"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","4","0.03","0.27 (emp 0.241)","0.654 (emp 0.421)","0.15 (emp 0.034)","0.16 (emp 0.204)","0.714"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.033","0.273 (emp 0.241)","0.687 (emp 0.421)","0.153 (emp 0.034)","0.183 (emp 0.204)","0.727"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.032","0.268 (emp 0.241)","0.683 (emp 0.421)","0.154 (emp 0.034)","0.169 (emp 0.204)","0.727"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.032","0.266 (emp 0.241)","0.683 (emp 0.421)","0.159 (emp 0.034)","0.179 (emp 0.204)","0.714"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.035","0.271 (emp 0.241)","0.71 (emp 0.421)","0.171 (emp 0.034)","0.184 (emp 0.204)","0.725"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.032","0.268 (emp 0.241)","0.689 (emp 0.421)","0.158 (emp 0.034)","0.172 (emp 0.204)","0.716"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.032","0.268 (emp 0.241)","0.681 (emp 0.421)","0.137 (emp 0.034)","0.184 (emp 0.204)","0.727"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.032","0.271 (emp 0.241)","0.688 (emp 0.421)","0.163 (emp 0.034)","0.171 (emp 0.204)","0.722"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","5","0.032","0.272 (emp 0.241)","0.676 (emp 0.421)","0.161 (emp 0.034)","0.178 (emp 0.204)","0.723"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.274 (emp 0.241)","0.704 (emp 0.421)","0.162 (emp 0.034)","0.191 (emp 0.204)","0.732"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.269 (emp 0.241)","0.701 (emp 0.421)","0.17 (emp 0.034)","0.175 (emp 0.204)","0.724"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.267 (emp 0.241)","0.702 (emp 0.421)","0.175 (emp 0.034)","0.183 (emp 0.204)","0.709"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.036","0.271 (emp 0.241)","0.722 (emp 0.421)","0.181 (emp 0.034)","0.19 (emp 0.204)","0.725"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.272 (emp 0.241)","0.707 (emp 0.421)","0.164 (emp 0.034)","0.172 (emp 0.204)","0.719"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.272 (emp 0.241)","0.699 (emp 0.421)","0.147 (emp 0.034)","0.183 (emp 0.204)","0.724"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.275 (emp 0.241)","0.704 (emp 0.421)","0.168 (emp 0.034)","0.176 (emp 0.204)","0.718"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","6","0.034","0.276 (emp 0.241)","0.698 (emp 0.421)","0.171 (emp 0.034)","0.174 (emp 0.204)","0.73"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.035","0.275 (emp 0.241)","0.715 (emp 0.421)","0.17 (emp 0.034)","0.195 (emp 0.204)","0.73"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.035","0.271 (emp 0.241)","0.715 (emp 0.421)","0.174 (emp 0.034)","0.185 (emp 0.204)","0.727"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.035","0.27 (emp 0.241)","0.713 (emp 0.421)","0.176 (emp 0.034)","0.192 (emp 0.204)","0.727"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.037","0.274 (emp 0.241)","0.729 (emp 0.421)","0.184 (emp 0.034)","0.187 (emp 0.204)","0.723"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.035","0.277 (emp 0.241)","0.725 (emp 0.421)","0.174 (emp 0.034)","0.18 (emp 0.204)","0.73"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.036","0.279 (emp 0.241)","0.715 (emp 0.421)","0.178 (emp 0.034)","0.186 (emp 0.204)","0.729"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.035","0.275 (emp 0.241)","0.711 (emp 0.421)","0.156 (emp 0.034)","0.192 (emp 0.204)","0.732"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","7","0.035","0.277 (emp 0.241)","0.707 (emp 0.421)","0.184 (emp 0.034)","0.176 (emp 0.204)","0.732"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.037","0.279 (emp 0.241)","0.722 (emp 0.421)","0.177 (emp 0.034)","0.194 (emp 0.204)","0.737"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.036","0.276 (emp 0.241)","0.722 (emp 0.421)","0.184 (emp 0.034)","0.177 (emp 0.204)","0.736"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.036","0.273 (emp 0.241)","0.723 (emp 0.421)","0.184 (emp 0.034)","0.196 (emp 0.204)","0.731"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.038","0.276 (emp 0.241)","0.735 (emp 0.421)","0.184 (emp 0.034)","0.196 (emp 0.204)","0.728"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.037","0.28 (emp 0.241)","0.731 (emp 0.421)","0.17 (emp 0.034)","0.182 (emp 0.204)","0.728"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.037","0.28 (emp 0.241)","0.725 (emp 0.421)","0.179 (emp 0.034)","0.188 (emp 0.204)","0.731"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.037","0.276 (emp 0.241)","0.723 (emp 0.421)","0.162 (emp 0.034)","0.189 (emp 0.204)","0.735"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","8","0.037","0.282 (emp 0.241)","0.718 (emp 0.421)","0.187 (emp 0.034)","0.172 (emp 0.204)","0.732"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.038","0.278 (emp 0.241)","0.726 (emp 0.421)","0.182 (emp 0.034)","0.191 (emp 0.204)","0.737"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.037","0.275 (emp 0.241)","0.73 (emp 0.421)","0.189 (emp 0.034)","0.198 (emp 0.204)","0.725"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.037","0.278 (emp 0.241)","0.73 (emp 0.421)","0.192 (emp 0.034)","0.186 (emp 0.204)","0.751"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.039","0.277 (emp 0.241)","0.74 (emp 0.421)","0.191 (emp 0.034)","0.194 (emp 0.204)","0.732"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.038","0.28 (emp 0.241)","0.736 (emp 0.421)","0.18 (emp 0.034)","0.187 (emp 0.204)","0.731"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.038","0.28 (emp 0.241)","0.732 (emp 0.421)","0.177 (emp 0.034)","0.188 (emp 0.204)","0.737"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.038","0.279 (emp 0.241)","0.727 (emp 0.421)","0.167 (emp 0.034)","0.188 (emp 0.204)","0.738"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","9","0.038","0.282 (emp 0.241)","0.729 (emp 0.421)","0.185 (emp 0.034)","0.176 (emp 0.204)","0.734"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.039","0.281 (emp 0.241)","0.731 (emp 0.421)","0.188 (emp 0.034)","0.193 (emp 0.204)","0.735"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.038","0.278 (emp 0.241)","0.737 (emp 0.421)","0.2 (emp 0.034)","0.193 (emp 0.204)","0.719"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.038","0.279 (emp 0.241)","0.733 (emp 0.421)","0.187 (emp 0.034)","0.181 (emp 0.204)","0.743"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","11","0.04","0.283 (emp 0.241)","0.742 (emp 0.421)","0.202 (emp 0.034)","0.199 (emp 0.204)","0.735"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.039","0.283 (emp 0.241)","0.735 (emp 0.421)","0.184 (emp 0.034)","0.193 (emp 0.204)","0.734"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.039","0.285 (emp 0.241)","0.731 (emp 0.421)","0.197 (emp 0.034)","0.185 (emp 0.204)","0.737"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.039","0.284 (emp 0.241)","0.732 (emp 0.421)","0.171 (emp 0.034)","0.189 (emp 0.204)","0.732"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","10","0.039","0.286 (emp 0.241)","0.731 (emp 0.421)","0.199 (emp 0.034)","0.176 (emp 0.204)","0.729"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","11","0.04","0.282 (emp 0.241)","0.739 (emp 0.421)","0.202 (emp 0.034)","0.194 (emp 0.204)","0.729"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","11","0.04","0.283 (emp 0.241)","0.741 (emp 0.421)","0.196 (emp 0.034)","0.185 (emp 0.204)","0.737"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","11","0.039","0.281 (emp 0.241)","0.739 (emp 0.421)","0.204 (emp 0.034)","0.194 (emp 0.204)","0.724"
