"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion_2"
"10/09/2022 10:37:30:661 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","religion","threshold-mean","threshold-sd","tie-houses-to-religion","beta-eth","beta-rel","color-axis-max","dissimilarity-religion","turnover","always-search","always-move","ethn-rel-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"10","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.115","0.507","0.917","0.214","0.611","0.742"
"14","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.095","0.469","0.846","0.146","0.588","0.772"
"16","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.09","0.446","0.839","0.149","0.561","0.76"
"18","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.097","0.478","0.848","0.149","0.613","0.772"
"20","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.093","0.464","0.823","0.146","0.59","0.772"
"17","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.099","0.48","0.855","0.15","0.596","0.756"
"19","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.096","0.475","0.845","0.152","0.589","0.769"
"22","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.078","0.436","0.754","0.111","0.522","0.762"
"23","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.079","0.436","0.76","0.111","0.524","0.779"
"21","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.069","0.406","0.718","0.118","0.506","0.777"
"24","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.075","0.422","0.741","0.106","0.509","0.774"
"25","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.081","0.438","0.772","0.118","0.52","0.772"
"26","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.079","0.438","0.753","0.114","0.524","0.78"
"27","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.074","0.421","0.747","0.11","0.517","0.768"
"28","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.077","0.427","0.757","0.12","0.504","0.774"
"30","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.076","0.428","0.748","0.12","0.508","0.783"
"29","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","100","99","0.048","0.366","0.647","0.114","0.466","0.751"
"31","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.038","0.252","0.711","0.216","0.277","0.716"
"32","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.038","0.255","0.708","0.213","0.27","0.731"
"34","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.039","0.256","0.716","0.217","0.271","0.718"
"35","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.039","0.256","0.715","0.208","0.273","0.734"
"33","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.037","0.253","0.698","0.212","0.269","0.72"
"36","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.037","0.252","0.71","0.212","0.278","0.719"
"37","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.037","0.252","0.708","0.216","0.275","0.726"
"38","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.038","0.254","0.707","0.201","0.272","0.72"
"39","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.037","0.252","0.7","0.222","0.285","0.731"
"40","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","100","99","0.037","0.25","0.702","0.219","0.27","0.732"
"42","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.032","0.255","0.642","0.16","0.276","0.72"
"41","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.032","0.249","0.646","0.165","0.266","0.726"
"43","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.031","0.248","0.647","0.171","0.264","0.719"
"44","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.031","0.248","0.648","0.181","0.262","0.718"
"45","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.032","0.251","0.65","0.173","0.271","0.715"
"46","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.031","0.248","0.641","0.167","0.261","0.73"
"48","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.032","0.258","0.645","0.159","0.266","0.707"
"47","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.032","0.251","0.646","0.176","0.28","0.722"
"49","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.031","0.247","0.647","0.179","0.261","0.712"
"50","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","100","99","0.032","0.249","0.649","0.179","0.265","0.711"
"51","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.263","0.622","0.117","0.257","0.714"
"52","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.266","0.623","0.12","0.257","0.717"
"53","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.264","0.628","0.126","0.259","0.711"
"54","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.031","0.267","0.625","0.118","0.251","0.72"
"55","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.031","0.265","0.626","0.111","0.25","0.71"
"56","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.263","0.616","0.118","0.259","0.717"
"57","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.264","0.626","0.118","0.257","0.721"
"58","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.031","0.264","0.629","0.129","0.263","0.724"
"59","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.262","0.623","0.125","0.253","0.717"
"60","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","100","99","0.03","0.264","0.618","0.114","0.266","0.718"
