"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion"
"10/10/2022 05:48:48:063 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","religion","threshold-mean","threshold-sd","tie-houses-to-religion","beta-eth","beta-rel","color-axis-max","dissimilarity-religion","turnover","always-search","always-move","ethn-rel-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"12","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.174","0.701","0.941","0.437","0.823","0.752"
"11","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.185","0.733","0.932","0.533","0.834","0.741"
"14","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.188","0.733","0.946","0.511","0.838","0.762"
"13","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.154","0.626","0.928","0.417","0.745","0.717"
"15","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.175","0.688","0.938","0.47","0.764","0.688"
"16","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.168","0.677","0.93","0.457","0.793","0.754"
"17","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.158","0.634","0.939","0.406","0.747","0.734"
"20","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.189","0.734","0.934","0.525","0.838","0.724"
"19","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.178","0.708","0.944","0.506","0.822","0.755"
"18","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.168","0.678","0.929","0.441","0.81","0.721"
"21","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.117","0.547","0.901","0.183","0.662","0.779"
"22","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.121","0.57","0.89","0.174","0.702","0.792"
"23","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.124","0.582","0.893","0.179","0.719","0.793"
"24","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.116","0.556","0.887","0.184","0.686","0.792"
"25","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.12","0.567","0.895","0.179","0.69","0.796"
"26","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.115","0.551","0.892","0.169","0.675","0.787"
"27","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.148","0.658","0.899","0.2","0.779","0.726"
"28","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.117","0.558","0.89","0.19","0.677","0.792"
"29","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.123","0.578","0.891","0.18","0.722","0.79"
"30","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.115","0.549","0.888","0.171","0.676","0.787"
"31","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.111","0.544","0.849","0.137","0.666","0.797"
"32","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.108","0.535","0.846","0.14","0.652","0.792"
"33","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.109","0.537","0.846","0.14","0.66","0.797"
"34","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.107","0.523","0.85","0.133","0.642","0.799"
"35","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.106","0.525","0.846","0.138","0.64","0.788"
"36","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.109","0.539","0.848","0.141","0.657","0.805"
"37","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.108","0.534","0.851","0.137","0.652","0.804"
"38","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.107","0.531","0.84","0.135","0.66","0.79"
"39","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.109","0.532","0.857","0.135","0.651","0.795"
"40","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.107","0.528","0.845","0.143","0.641","0.798"
"41","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.104","0.522","0.824","0.13","0.625","0.793"
"43","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.102","0.524","0.816","0.124","0.635","0.798"
"42","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.092","0.47","0.805","0.123","0.549","0.785"
"44","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.085","0.456","0.766","0.125","0.553","0.773"
"46","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.102","0.523","0.818","0.13","0.627","0.792"
"45","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.095","0.497","0.797","0.127","0.605","0.779"
"47","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.104","0.528","0.819","0.134","0.635","0.783"
"48","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.087","0.457","0.792","0.113","0.538","0.775"
"49","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.085","0.458","0.761","0.11","0.553","0.778"
"50","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.087","0.459","0.78","0.124","0.549","0.782"
"51","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.079","0.437","0.742","0.117","0.512","0.766"
"52","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.09","0.494","0.758","0.121","0.592","0.777"
"54","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.082","0.45","0.754","0.118","0.539","0.78"
"53","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.079","0.44","0.733","0.119","0.528","0.785"
"55","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.076","0.431","0.728","0.114","0.504","0.768"
"56","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.08","0.44","0.735","0.113","0.517","0.766"
"57","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.079","0.443","0.724","0.124","0.522","0.761"
"58","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.081","0.437","0.748","0.116","0.521","0.761"
"59","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.092","0.487","0.787","0.124","0.587","0.778"
"60","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.082","0.447","0.753","0.115","0.525","0.783"
"61","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.07","0.415","0.699","0.117","0.483","0.769"
"62","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.042","0.355","0.597","0.101","0.452","0.711"
"63","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.039","0.344","0.588","0.101","0.442","0.729"
"64","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.07","0.413","0.695","0.111","0.488","0.763"
"65","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.041","0.348","0.59","0.105","0.451","0.719"
"66","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.074","0.428","0.721","0.115","0.503","0.764"
"67","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.04","0.35","0.594","0.105","0.449","0.721"
"68","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.072","0.413","0.712","0.116","0.482","0.759"
"69","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.07","0.416","0.7","0.111","0.489","0.768"
"70","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.075","0.424","0.716","0.125","0.49","0.758"
"71","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.05","0.369","0.606","0.106","0.459","0.701"
"72","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.042","0.352","0.587","0.105","0.448","0.712"
"73","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.04","0.348","0.584","0.105","0.441","0.735"
"74","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.039","0.348","0.576","0.112","0.45","0.728"
"75","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.04","0.349","0.589","0.106","0.444","0.737"
"76","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.039","0.347","0.581","0.109","0.441","0.725"
"77","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.068","0.405","0.677","0.116","0.477","0.763"
"78","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.039","0.348","0.572","0.103","0.445","0.717"
"80","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.072","0.422","0.699","0.117","0.495","0.762"
"79","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.04","0.347","0.581","0.108","0.43","0.73"
"81","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.168","0.593","0.736","0.973","0.235","0.602"
"82","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.169","0.599","0.733","0.982","0.236","0.627"
"83","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.164","0.591","0.735","0.973","0.235","0.594"
"84","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.168","0.6","0.733","0.978","0.234","0.616"
"85","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.166","0.593","0.729","0.981","0.222","0.584"
"86","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.166","0.591","0.728","0.979","0.229","0.573"
"87","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.174","0.603","0.735","0.982","0.245","0.62"
"88","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.166","0.593","0.734","0.98","0.226","0.589"
"89","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.166","0.589","0.728","0.982","0.231","0.613"
"90","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.17","0.603","0.731","0.973","0.247","0.617"
"91","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.049","0.27","0.721","0.195","0.279","0.727"
"92","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.051","0.275","0.732","0.207","0.281","0.741"
"93","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.05","0.273","0.729","0.197","0.267","0.727"
"94","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.052","0.274","0.729","0.206","0.267","0.743"
"95","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.049","0.274","0.723","0.195","0.275","0.728"
"96","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.047","0.267","0.718","0.2","0.28","0.717"
"97","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.048","0.271","0.722","0.2","0.284","0.734"
"98","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.05","0.274","0.718","0.192","0.27","0.719"
"99","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.049","0.276","0.727","0.191","0.276","0.708"
"100","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.05","0.271","0.723","0.209","0.282","0.734"
"101","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.034","0.253","0.662","0.201","0.283","0.72"
"102","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.257","0.662","0.192","0.295","0.708"
"103","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.254","0.665","0.198","0.281","0.709"
"104","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.254","0.666","0.187","0.279","0.703"
"105","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.253","0.674","0.196","0.278","0.701"
"106","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.252","0.667","0.186","0.277","0.714"
"107","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.251","0.662","0.194","0.278","0.695"
"108","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.254","0.664","0.198","0.279","0.705"
"109","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.248","0.67","0.195","0.274","0.711"
"110","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.256","0.665","0.191","0.284","0.712"
"111","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.264","0.625","0.139","0.269","0.719"
"113","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.261","0.632","0.147","0.266","0.705"
"112","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.265","0.634","0.133","0.285","0.724"
"114","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.265","0.625","0.128","0.259","0.717"
"115","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.264","0.64","0.132","0.261","0.71"
"116","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.033","0.267","0.63","0.134","0.27","0.71"
"117","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.264","0.625","0.129","0.261","0.716"
"118","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.262","0.63","0.133","0.26","0.72"
"119","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.265","0.625","0.133","0.263","0.715"
"120","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.264","0.631","0.129","0.263","0.716"
"121","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.273","0.612","0.102","0.264","0.702"
"122","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.272","0.613","0.103","0.261","0.7"
"123","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.272","0.613","0.1","0.261","0.706"
"124","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.271","0.609","0.1","0.263","0.736"
"126","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.271","0.611","0.103","0.263","0.726"
