"color-axis-max","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"dissimilarity-ses","all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,
"turnover","0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,
"always-search","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"always-move","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"ethn-ses-recommendations","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"neighbor-weight","0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,
"others-ignore-ethn","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"stop-tick","100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,
"[steps]","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"

