"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@SES.nlogo"
"experiment_ethnic-SES"
"10/09/2022 20:36:08:575 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","ses","threshold-mean","threshold-sd","tie-houses-to-ses","beta-eth","beta-ses","color-axis-max","dissimilarity-ses","turnover","always-search","always-move","ethn-ses-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"20","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.236","0.834","0.952","0.924","0.586","0.748"
"21","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.115","0.679","0.751","0.689","0.369","0.772"
"23","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.117","0.692","0.732","0.71","0.398","0.777"
"24","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.122","0.7","0.739","0.696","0.424","0.715"
"22","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.113","0.674","0.736","0.691","0.379","0.801"
"26","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.122","0.689","0.748","0.679","0.419","0.668"
"27","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.13","0.698","0.766","0.705","0.426","0.732"
"25","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.114","0.7","0.725","0.688","0.414","0.751"
"28","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.123","0.701","0.758","0.691","0.415","0.706"
"30","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.113","0.666","0.764","0.665","0.362","0.776"
"29","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.105","0.645","0.745","0.634","0.341","0.782"
"32","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.072","0.535","0.583","0.509","0.325","0.666"
"31","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.062","0.481","0.567","0.463","0.251","0.625"
"35","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.071","0.537","0.569","0.505","0.333","0.67"
"33","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.063","0.488","0.566","0.47","0.265","0.651"
"34","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.065","0.505","0.58","0.484","0.277","0.66"
"36","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.065","0.506","0.608","0.474","0.278","0.691"
"37","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.071","0.522","0.562","0.513","0.294","0.644"
"40","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.072","0.531","0.562","0.501","0.326","0.676"
"38","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.06","0.477","0.587","0.441","0.248","0.652"
"39","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.061","0.483","0.584","0.45","0.252","0.679"
"41","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.385","0.429","0.351","0.259","0.63"
"42","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.368","0.418","0.334","0.248","0.589"
"44","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.393","0.437","0.352","0.267","0.647"
"43","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.386","0.429","0.354","0.253","0.636"
"45","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.402","0.461","0.361","0.267","0.668"
"46","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.033","0.375","0.436","0.328","0.246","0.606"
"48","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.034","0.385","0.435","0.35","0.258","0.596"
"47","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.375","0.424","0.341","0.242","0.608"
"49","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.395","0.449","0.359","0.255","0.604"
"51","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.024","0.316","0.382","0.261","0.219","0.574"
"52","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.024","0.315","0.387","0.264","0.221","0.621"
"50","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.401","0.458","0.357","0.263","0.68"
"53","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.023","0.316","0.38","0.256","0.214","0.581"
"55","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.023","0.31","0.374","0.262","0.223","0.615"
"54","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.025","0.322","0.389","0.27","0.223","0.584"
"56","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.024","0.315","0.381","0.256","0.228","0.607"
"57","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.023","0.306","0.378","0.25","0.218","0.617"
"58","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.024","0.318","0.372","0.276","0.218","0.624"
"59","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.025","0.32","0.381","0.261","0.234","0.646"
"60","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.024","0.318","0.389","0.263","0.231","0.594"
"61","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.017","0.264","0.338","0.196","0.198","0.551"
"62","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.017","0.26","0.324","0.205","0.189","0.586"
"63","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.017","0.264","0.329","0.206","0.19","0.541"
"64","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.016","0.254","0.324","0.189","0.192","0.578"
"65","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.018","0.269","0.343","0.202","0.2","0.561"
"66","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.018","0.27","0.337","0.217","0.193","0.585"
"67","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.018","0.265","0.344","0.203","0.199","0.574"
"68","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.017","0.257","0.334","0.203","0.183","0.609"
"69","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.017","0.262","0.332","0.212","0.192","0.585"
"70","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.017","0.257","0.337","0.194","0.194","0.573"
"71","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.014","0.227","0.312","0.169","0.176","0.595"
"72","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.014","0.235","0.319","0.169","0.18","0.551"
"74","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.014","0.234","0.307","0.18","0.184","0.565"
"73","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.014","0.226","0.305","0.173","0.175","0.552"
"75","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.014","0.229","0.304","0.176","0.174","0.514"
"76","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.015","0.238","0.316","0.187","0.178","0.6"
"77","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.014","0.236","0.304","0.175","0.191","0.602"
"78","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.013","0.224","0.294","0.173","0.177","0.523"
"79","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.013","0.23","0.301","0.163","0.193","0.539"
"80","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.013","0.225","0.3","0.166","0.179","0.573"
"81","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.239","0.715","0.997","0.98","0.318","0.722"
"82","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.736","0.997","0.991","0.333","0.723"
"83","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.747","0.998","0.993","0.359","0.715"
"84","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.742","0.997","0.99","0.34","0.715"
"85","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.239","0.717","0.987","0.991","0.324","0.699"
"86","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.242","0.728","0.992","0.988","0.341","0.699"
"87","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.239","0.724","0.997","0.983","0.333","0.714"
"88","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.241","0.727","0.997","0.986","0.35","0.719"
"89","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.239","0.713","0.996","0.975","0.318","0.716"
"91","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.228","0.728","0.981","0.967","0.303","0.779"
"90","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.733","0.998","0.99","0.345","0.712"
"92","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.224","0.719","0.978","0.957","0.305","0.716"
"93","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.225","0.698","0.983","0.976","0.272","0.749"
"96","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.227","0.734","0.978","0.967","0.317","0.776"
"94","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.23","0.732","0.983","0.971","0.317","0.771"
"95","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.226","0.729","0.979","0.959","0.309","0.731"
"97","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.219","0.686","0.987","0.954","0.276","0.744"
"98","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.23","0.734","0.985","0.966","0.319","0.771"
"99","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.228","0.705","0.986","0.97","0.293","0.735"
"100","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.227","0.726","0.979","0.964","0.304","0.774"
"101","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.17","0.636","0.928","0.809","0.254","0.804"
"104","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.162","0.622","0.922","0.782","0.253","0.772"
"102","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.162","0.614","0.911","0.787","0.233","0.788"
"103","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.16","0.621","0.924","0.771","0.234","0.807"
"105","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.17","0.633","0.918","0.819","0.235","0.799"
"106","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.168","0.639","0.922","0.814","0.232","0.805"
"107","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.162","0.625","0.931","0.786","0.252","0.792"
"108","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.158","0.611","0.923","0.751","0.238","0.784"
"109","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.181","0.651","0.923","0.846","0.258","0.791"
"110","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","8","1","all","0","false","false","true","0.17","true","1000","999","0.164","0.631","0.915","0.801","0.237","0.794"
"111","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.1","0.509","0.802","0.552","0.223","0.795"
"112","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.097","0.496","0.766","0.545","0.225","0.801"
"113","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.096","0.496","0.759","0.569","0.226","0.804"
"114","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.093","0.483","0.758","0.542","0.212","0.799"
"115","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.095","0.483","0.759","0.524","0.212","0.802"
"116","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.098","0.493","0.773","0.547","0.214","0.805"
"117","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.098","0.506","0.79","0.557","0.214","0.806"
"118","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.097","0.493","0.773","0.55","0.213","0.786"
"120","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.105","0.515","0.782","0.602","0.228","0.805"
"119","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","12","1","all","0","false","false","true","0.17","true","1000","999","0.096","0.495","0.757","0.54","0.223","0.791"
"121","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.069","0.436","0.638","0.426","0.221","0.788"
"122","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.068","0.425","0.642","0.416","0.219","0.768"
"123","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.066","0.425","0.668","0.378","0.232","0.795"
"124","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.065","0.422","0.633","0.407","0.221","0.803"
"125","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.064","0.422","0.645","0.399","0.222","0.799"
"126","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.065","0.423","0.644","0.395","0.222","0.797"
